CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    1      40         50          0          0       1236          0   
    2      45         68         10        890        989         90   
    3      45         70         30        816        879         90   
    4      42         66         10         55        156         90   
    5      42         68         10        703        806         90   
    6      42         65         10         15         60         90   
    7      40         69         20        559        764         90   
    8      40         66         20        172        223         90   
    9      38         68         20        250        329         90   
   10      38         70         10        489        650         90   
   11      35         66         10        361        406         90   
   12      35         69         10        450        503         90
   13      25         85         20        647        726         90   
   14      22         75         30         30         95         90   
   15      22         85         10        571        616         90   
   16      20         80         40        392        421         90   
   17      20         85         40        478        525         90   
   18      18         75         20        105        142         90   
   19      15         75         20        172        261         90   
   20      15         80         10        274        349         90   
   
